51.222.253.19 bot - "2023-05-29 01:27:51" https://cpsujournals.com/?journal=psdrmj&page=issue&op=view&path[]=7 200 "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
66.249.71.4 bot - "2023-05-29 02:37:17" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=28 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
185.191.171.23 - - "2023-05-29 04:01:17" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=27 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
175.176.5.144 - - "2023-05-29 05:27:14" https://cpsujournals.com/?journal=piej&page=index 200 "Mozilla/5.0 (Linux; Android 10; MED-LX9) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.120 Mobile Safari/537.36"
202.92.146.176 - - "2023-05-29 06:28:12" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0"
185.191.171.3 - - "2023-05-29 06:42:59" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
27.110.176.28 - - "2023-05-29 07:41:52" https://cpsujournals.com/?journal=psdrmj&page=index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
27.110.176.28 - - "2023-05-29 07:42:02" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=79 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
27.110.176.28 - - "2023-05-29 07:42:13" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=79 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
27.110.176.28 - - "2023-05-29 07:42:22" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=79 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
210.23.186.182 - - "2023-05-29 07:57:40" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=26 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57"
210.23.186.182 - - "2023-05-29 07:58:15" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=26 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57"
202.92.130.193 - - "2023-05-29 08:27:10" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
52.167.144.173 bot - "2023-05-29 08:46:20" https://cpsujournals.com/?journal=piej&page=index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
3.226.198.37 bot - "2023-05-29 08:46:47" https://cpsujournals.com/?journal=psdrmj&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:46:51" https://cpsujournals.com/?journal=psdrmj&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:46:53" https://cpsujournals.com/?journal=piej&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:46:55" https://cpsujournals.com/?journal=piej&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:47:17" https://cpsujournals.com/?journal=psdrmj&page=index 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:47:45" https://cpsujournals.com/?journal=psdrmj&page=issue&op=view&path[]=7 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
3.226.198.37 bot - "2023-05-29 08:47:47" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=78 200 "LinkWalker/3.0 (http://www.brandprotect.com)"
